id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Btbd17	0.103050010746813	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Slfn4	0.50637517257175	-1.53579380821174	2.45447683924129	-0.625711265088357	0.531504343000784	NA
Th	0	NA	NA	NA	NA	NA
Ins2	0	NA	NA	NA	NA	NA
Scnn1g	0	NA	NA	NA	NA	NA
Drp2	7.15589070300904	-0.588321227605349	0.60240084433549	-0.976627495026718	0.328753602009958	NA
Tspan32	0.749385430962478	-2.16446491226975	2.18281586080873	-0.99159299285457	0.321396108832164	NA
Lhx2	0	NA	NA	NA	NA	NA
Clec2g	0	NA	NA	NA	NA	NA
Gmpr	227.691428708022	-0.0930864730907631	0.137086771981763	-0.679033226511064	0.497116809330389	0.99948711220668
Glra1	0	NA	NA	NA	NA	NA
Mid2	29.7080709159908	0.0441994311063545	0.291442294735521	0.151657573059067	0.879457021799901	0.99948711220668
Trim25	30.2253159252172	-0.0836715970479539	0.294266471605676	-0.284339553165526	0.776150177421334	0.99948711220668
Dgke	21.0905925734668	-0.296448257464888	0.35190839864344	-0.842401768777489	0.399563103292444	0.99948711220668
Scpep1	23.5061835991475	-0.324980928128102	0.341653163322997	-0.951201285441831	0.341502206037172	0.99948711220668
Mnt	53.6448443331001	-0.349233035203402	0.311745472623241	-1.12025054370386	0.262607010798541	0.99948711220668
Itgb2	3.47569519365405	-0.293553909337708	0.971072691674667	-0.302298593971846	0.76242445008188	NA
Hddc2	10.0174791068593	-0.246476794810159	0.502274006338035	-0.490721780741084	0.62362323927762	NA
Tpd52l1	47.6531516480132	0.444224580582638	0.256395665691886	1.73257445434538	0.0831713329917657	0.925341977625529
Pemt	1.54209626988198	1.57798689235105	1.36466520572598	1.15631796409111	0.247551123070587	NA
Cdh1	0.381448482183134	0.584083377639333	2.67266353318826	0.218539808841022	0.827008544830254	NA
Cdh4	8.86160554138623	-0.356138374641654	0.677513737638473	-0.525654838945409	0.599128047094996	NA
Ckmt1	0	NA	NA	NA	NA	NA
Bcl6b	9.33754176915838	-0.373421979563178	0.659170020701573	-0.566503281150036	0.571051703078207	NA
Clec10a	11.8714347507992	0.00366121933582141	0.592252415760492	0.00618185631395046	0.99506762370543	NA
Alox12	1.33377729581749	0.573791923409953	1.31867145832566	0.435128795567096	0.663468943042679	NA
Comt	115.296408558112	-0.693070814432062	0.542042025981546	-1.27862929664361	0.201027628226394	0.99948711220668
Rtca	30.8090899329162	-0.0835925314498947	0.292947841320934	-0.285349538924632	0.775376363130532	0.99948711220668
Dbt	124.623787047532	-0.169927310243601	0.176278826940345	-0.963968918973502	0.335061508756904	0.99948711220668
Dazap2	203.089790136826	0.147176689598841	0.144709889281878	1.0170465220394	0.309131298692634	0.99948711220668
Mcts1	38.4009696811939	-0.0605725476583233	0.257723477553278	-0.23502921904273	0.814186054810997	0.99948711220668
Rem1	1.62548060726033	-0.504322160848082	1.31716043987322	-0.382885900290646	0.701804366144604	NA
Rnf17	0.389918442387456	-0.871285888564171	2.63461406974545	-0.330707217641312	0.740865649908355	NA
Trappc10	96.8174725458028	0.365237173451087	0.18869927666573	1.93555152889157	0.0529226518110696	0.797469850755973
Ccm2	20.5923054103098	0.281092205353121	0.405469011095527	0.693252006099419	0.488151416346112	0.99948711220668
Wap	0	NA	NA	NA	NA	NA
Tbrg4	57.3495372854006	0.0429747416722947	0.219369206315202	0.195901432084073	0.844687316346926	0.99948711220668
Tmprss2	0	NA	NA	NA	NA	NA
Mx1	0.607009467875148	0.312011528344715	1.95027286141888	0.159983525647646	0.872894051686577	NA
Fap	10.7829636526321	-0.265205478540085	0.472484354166085	-0.561300022321716	0.574593026370301	NA
Gcg	0	NA	NA	NA	NA	NA
Ndufa9	225.997183416876	-0.0686856473317849	0.198158502659086	-0.346619733244314	0.728877018995941	0.99948711220668
Egfl6	1.48396505778327	-1.03073300759147	1.41887557157382	-0.726443550260139	0.46756690144446	NA
Lck	0.121517585152869	0.522062878200903	3.5338115409304	0.147733650239722	0.882552973964035	NA
Tssk3	0	NA	NA	NA	NA	NA
Cttnbp2	0.906103274806256	3.21804778154594	1.74523639396895	1.84390366409193	0.0651971810246643	NA
Galnt1	177.705927377411	-0.0719921421719991	0.149934953488359	-0.480155830892285	0.631116591274559	0.99948711220668
Myf5	1.8614489138059	0.0944970585488532	1.19764418682091	0.0789024483137106	0.937110215842481	NA
Mkrn2	136.626009671515	-0.244681650744824	0.155311887133229	-1.57542127174677	0.115159237575246	0.969467360416905
Pparg	8.45291251441589	0.805549631614945	0.929281782546032	0.866851849186059	0.386023188901508	NA
Raf1	272.040667037069	-0.0151993686578217	0.129174699982605	-0.11766521354312	0.906332930825799	0.99948711220668
Septin1	1.39623363939984	-1.2060235081063	1.46348111043642	-0.824078629717785	0.409894881893145	NA
Pdgfb	17.5738119578922	-0.207741618061252	0.363847795137151	-0.570957474080458	0.568028469889547	0.99948711220668
Acvrl1	9.49995426938475	-0.759552790105545	0.525117190221444	-1.44644434470949	0.148052611608948	NA
Tamalin	11.8360973495514	0.0531729881894978	0.450124225099603	0.118129585622129	0.905964981633079	NA
Acvr1b	240.027011304851	0.169184668501222	0.208713005125835	0.81060913477442	0.417590169341893	0.99948711220668
Tom1l2	251.495515670261	0.0693810802035967	0.157518900833908	0.440461937178917	0.659602574199621	0.99948711220668
Gpa33	0	NA	NA	NA	NA	NA
Zfp385a	9.41736593043523	-1.36395758126523	0.586261976976468	-2.32653256535513	0.019990157276357	NA
Itga5	13.0607470580104	-0.453445939871483	0.461960359754892	-0.981568938322053	0.32631225631917	NA
Gabra2	2.7438929160025	-5.00534067605939	3.39848139930189	-1.47281685198794	0.140800427047925	NA
Wdr77	85.6372081635162	-0.165555328718584	0.18972825038666	-0.87259186958815	0.382885573700285	0.99948711220668
Adora3	0.654217228962328	-0.772601326634757	2.10306811508486	-0.367368665376577	0.713344041441083	NA
Atp5pb	998.834462074504	-0.0986142370429209	0.13539973019471	-0.728319302417439	0.466418149097008	0.99948711220668
Sox9	5.7402935630868	-0.110459754627282	0.649287949883596	-0.17012444886292	0.864912266366968	NA
Hnrnpd	158.104565608633	0.0488111683058278	0.191720298180466	0.254595724965345	0.79903536139105	0.99948711220668
Dynlt1c	5.26111971237996	0.328238791153762	0.746601393235482	0.439643957442006	0.6601949983754	NA
C1d	29.9309636500954	0.0860700741513872	0.28914621759354	0.297669721802753	0.76595525488274	0.99948711220668
Gm2a	31.8364504906693	-0.405246783645421	0.331307795981551	-1.22317309933747	0.221264323648525	0.99948711220668
Krit1	69.2974762357222	-0.105650136162733	0.217451209044718	-0.485856742884362	0.62706873982867	0.99948711220668
Clcn4	121.347296647281	0.1510707426954	0.168692307512774	0.895540199329838	0.370498386682437	0.99948711220668
Vmn2r88	0.501370781704255	-1.43928736553936	2.18128983556732	-0.659833160211384	0.509360900935513	NA
Grm6	0	NA	NA	NA	NA	NA
Sema4f	0.334215809180943	-0.789451236963323	3.22710681258172	-0.244631269682627	0.806741949858527	NA
Hk2	286.038477278505	0.182107966378819	0.1894628944501	0.961180113432616	0.33646161364873	0.99948711220668
Myo18a	713.898893266215	0.412445058126795	0.165001277142707	2.49964767103032	0.01243168754872	0.496287404654873
Sez6	0.613607670409596	0.327767577059759	1.94754041818497	0.168298215533429	0.866348677638868	NA
Haao	0.590748768508715	-0.731834486552993	2.13143256810346	-0.343353337799552	0.731332659112767	NA
Cd52	1.44842989996625	0.208466272447151	1.38916060061313	0.150066358313891	0.880712261553583	NA
Abhd15	1.45639583363345	1.50173579040004	1.55908392909107	0.963216772605396	0.335438749667266	NA
Hoxb6	1.03995318425875	-2.71104582489708	1.65193507743837	-1.64113339678037	0.100769727538906	NA
Loxl3	3.7792524616186	-1.84380029085568	0.957813078991102	-1.9250105592605	0.0542280372430274	NA
Tcl1b5	0	NA	NA	NA	NA	NA
Btn1a1	0.103050010746813	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Kat2b	188.375289916413	0.0682079930708361	0.129247736900906	0.527730656693285	0.597686292178315	0.99948711220668
Rab5b	376.187056354633	-0.12487907964271	0.103538331955817	-1.20611446296044	0.227773358970251	0.99948711220668
Cryba1	0	NA	NA	NA	NA	NA
Dnmt3l	0	NA	NA	NA	NA	NA
Aire	0.131815109342947	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Icosl	3.48305813644418	-0.0472373541627575	0.838037940610912	-0.0563666057032244	0.95504975943147	NA
Spg7	147.151534138032	0.0144986139876439	0.224411057604536	0.0646073956533543	0.948486596135137	0.99948711220668
Sult5a1	5.36667639392081	0.368599361209162	0.718796644393247	0.512800614866956	0.608090799626635	NA
Rpl13	150.796939847102	-0.0401744824663555	0.220617282857789	-0.182100341124463	0.855503981030354	0.99948711220668
Chmp1a	49.3544477259719	0.260731868975512	0.276965835549819	0.941386393227597	0.346506883954615	0.99948711220668
Rpa1	112.285844309446	0.405659154729417	0.195836009811426	2.0714226924866	0.0383193120617013	0.734030654744771
Serpinf1	49.6569688557522	-0.576237468463223	0.239431156556465	-2.40669375176881	0.0160976625626068	0.541524394669766
Tubgcp3	52.2560540105052	-0.0464314966604099	0.240877815441667	-0.192759539002271	0.847147292345742	0.99948711220668
Oprm1	0	NA	NA	NA	NA	NA
Polr3d	52.1562052962909	-0.0672718787661973	0.266162333811831	-0.252747553730712	0.800463298029711	0.99948711220668
Tcf7	0.646024329710338	1.77220766319767	2.03217472800753	0.872074452443984	0.383167762253863	NA
Ddx3x	685.960980432553	-0.080722382742248	0.165351268853353	-0.488187259172708	0.625417208251441	0.99948711220668
Il12rb1	0.496052539463321	-2.50893930231332	3.39307588033579	-0.739429176003287	0.459646431241811	NA
Slc5a5	0	NA	NA	NA	NA	NA
Kcnn3	6.14957045867882	1.98628046448168	0.815748673162974	2.4349171869077	0.0148951982380974	NA
Usp32	65.0988808103626	-0.172563069708984	0.237705867600937	-0.725952082927481	0.467868146020857	0.99948711220668
Car4	14.6413736374968	-1.0910885679268	0.410731382664862	-2.65645288861963	0.00789674837707336	0.396241256605629
Txnrd3	9.70103888748551	0.430712418636272	0.52405358139755	0.82188622294622	0.411141654712738	NA
Fasl	0	NA	NA	NA	NA	NA
Zfp512b	53.4905485617588	0.0151828435387882	0.221788971966098	0.0684562600394262	0.945422437786456	0.99948711220668
Dnajc5	93.9882884753463	0.220953184071761	0.17317175703539	1.27591928299606	0.201984053809608	0.99948711220668
Tpd52l2	91.7279418437626	0.373257616601518	0.182088935166938	2.04986434930447	0.0403776699945983	0.736372074068605
Fmr1	30.9540148263476	0.303885147498603	0.322095788920795	0.943462031952642	0.345444626991923	0.99948711220668
Bcl11a	0.165350846487774	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Il4	0	NA	NA	NA	NA	NA
Pxmp4	37.5810452624709	0.188891326480976	0.298266093960749	0.633298019136675	0.526539046615935	0.99948711220668
Dlg3	5.71265512426295	1.24696201903334	0.654749796820879	1.90448630161923	0.0568468790297285	NA
Gnb1l	2.69371984727379	0.684180517183501	1.00051065625679	0.683831314444189	0.494081690262904	NA
Dbh	0	NA	NA	NA	NA	NA
Mmp11	5.1364871182247	-0.0119814926811956	0.68730521995431	-0.0174325646500867	0.986091530264869	NA
Smarcb1	17.775520237281	0.138418513854924	0.41204975783465	0.335926696286204	0.736926144983226	0.99948711220668
Vpreb3	0.121517585152869	0.522062878200903	3.5338115409304	0.147733650239722	0.882552973964035	NA
Hip1r	38.0980933482926	0.281834018412215	0.295185284900569	0.95476987786552	0.339694083421309	0.99948711220668
Nsun5	8.00136724913403	0.125109524115618	0.552205626356772	0.226563291180207	0.82076333941257	NA
Top1mt	29.0055598749134	0.0939979706868692	0.295066525310936	0.318565349247312	0.750056132719005	0.99948711220668
Hoxa10	27.622206761031	0.24117534739091	0.31818641016777	0.757968724257412	0.448469706268256	0.99948711220668
Hoxa4	13.0579454542877	0.97329053647915	0.44227288822445	2.20065611615156	0.0277603777045833	NA
Gm38393	8.30170478755366	-0.113392270777382	0.569103116114978	-0.199247320154319	0.842069285284786	NA
Mmp14	25.2449594256733	-0.85530594317762	0.349855041023786	-2.44474380210365	0.0144955071483512	0.519415272987969
Slc7a7	2.97877326849829	-1.09262491291557	0.904671203341944	-1.20775913821432	0.227139923135221	NA
Oxa1l	72.749976456185	0.0465566491277803	0.197922646472788	0.235226488516974	0.814032947848931	0.99948711220668
Heatr6	36.2661466148131	-0.0737750707810733	0.277431234877396	-0.265922006992747	0.790299275997739	0.99948711220668
Ccl3	0.138389873927178	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Wfdc18	0	NA	NA	NA	NA	NA
Icam4	0.616438212388331	1.56015765905498	2.30952617619926	0.67553149002299	0.499338151644815	NA
Ilf2	94.9802866589577	0.000325089281166734	0.176648786499345	0.00184031426203961	0.998531642492122	0.999819752177947
Chtop	128.324933002554	0.0341341223101878	0.155039642137365	0.220163835775272	0.825743560470205	0.99948711220668
Snapin	156.282473751412	0.0502748127594257	0.140713395049638	0.357285194786827	0.720878312395262	0.99948711220668
S100a4	6.28714367458129	-0.623141008549729	0.738036648475809	-0.844322581861806	0.398489170624428	NA
S100a3	0.131815109342947	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
S100a5	0.224567595899682	-0.199275634042077	3.5338115409304	-0.0563911322757215	0.955030221134623	NA
S100a6	22.1267393903875	-0.341679167456486	0.394904163035406	-0.865220474836707	0.386917789536077	0.99948711220668
Scn4a	846.324692041484	0.0697012459255228	0.135860961581731	0.513033656718176	0.607927777700488	0.99948711220668
Icam2	3.56240914179847	0.110507308982217	0.837135932563099	0.13200640981193	0.894979221823147	NA
Mapk7	6.28388550133968	0.953983530729464	0.711164379087633	1.34143885546313	0.179778009303509	NA
Epn2	53.9488144079655	-0.351969528371278	0.231896232557292	-1.51778890277711	0.129067623529538	0.983080767540677
B9d1	0.493225643403287	-1.49922279370339	2.88447580899352	-0.519755717496035	0.603233847153836	NA
Sec24b	109.744946383548	-0.167636783411414	0.179185931736096	-0.935546567675351	0.349506696301269	0.99948711220668
N4bp3	2.65901481856579	0.355848287095095	0.927657367751346	0.383598836667116	0.701275802377048	NA
Rmnd5b	18.7843251942973	0.400594212141651	0.378807168588049	1.05751486603279	0.290276673607749	0.99948711220668
Nhp2	35.8047963935226	0.508180555047115	0.331949552708464	1.53089694172122	0.125794865207724	0.976862725568739
Vps9d1	22.028379894374	0.157713305631118	0.338265861124782	0.466240681535817	0.641043232935242	0.99948711220668
Zfp276	14.5358237179293	-0.0578432386466404	0.399648909817344	-0.144735134328471	0.884919998040046	0.99948711220668
C1ql4	0	NA	NA	NA	NA	NA
Mfsd10	2.45868413818241	1.53347044355991	1.04062004760549	1.47361224405439	0.140586022790929	NA
Luzp1	27.7966974687314	0.201095850682142	0.334830395451102	0.600590189583042	0.5481129737779	0.99948711220668
Slc13a2	0	NA	NA	NA	NA	NA
Kctd10	14.028475809479	0.148210151295861	0.431076936696605	0.343813687718053	0.730986405768099	0.99948711220668
Poldip2	147.496800938831	0.0460263005837341	0.140308643425082	0.328036102838596	0.742884365475689	0.99948711220668
Sebox	0.165350846487774	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Ift20	20.354180543262	-0.129140056463619	0.361465090343976	-0.357268405479288	0.7208908800637	0.99948711220668
Col6a1	36.9371932033006	-0.723571050561475	0.268913509762202	-2.69072034053374	0.00712979348772984	0.391575763391899
Pcbp3	2.83895321425803	-1.30418192130092	0.953539196685969	-1.36772764647077	0.171397342799155	NA
Lgals9	14.3539293814952	-0.940479979571756	0.451252376403363	-2.08415518399638	0.0371460537836862	0.727923138465287
Araf	117.441219246913	-7.28092602009507e-06	0.156906890045485	-4.64028445021402e-05	0.999962975886808	0.999962975886808
Cfp	10.5694786926665	-0.747238799278758	0.643001842089673	-1.16210988890845	0.245190831074015	NA
Timp1	0.373254994016938	-2.15248786470215	2.60750307650219	-0.825497727730235	0.409089072204021	NA
Uxt	17.7436508760047	0.435166873656252	0.388047669314186	1.12142632997987	0.262106433697347	0.99948711220668
Cnnm3	60.1123487700227	-0.28840366823026	0.239974471922703	-1.20180978384716	0.229437233928162	0.99948711220668
Lman2l	33.7804351200094	0.136069611673184	0.297197183808201	0.457842870277661	0.647065333576898	0.99948711220668
Mcm3ap	41.8055885338174	0.384640636704737	0.265525931238342	1.44859914401157	0.147449560394434	0.99948711220668
Pcnt	224.500210336033	0.0836860978441197	0.172463309801931	0.485240008093494	0.627506105279594	0.99948711220668
Ftcd	0.200830326121259	-0.199275634042077	3.5338115409304	-0.0563911322757214	0.955030221134623	NA
Mxd1	14.4403648992013	-0.000650263999119171	0.470432036220506	-0.00138226980531227	0.998897108614688	0.999819752177947
Gmcl1	4.40526091079076	0.267973381724136	0.722435511229986	0.370930522598338	0.710689280579319	NA
Snrnp27	65.8604027511848	-0.114167325622481	0.242693729833456	-0.4704172856086	0.638056916832619	0.99948711220668
Oas1c	0.381136802763601	-0.969454201217945	3.1021622104832	-0.312509190506495	0.754653579560306	NA
Oas1h	0	NA	NA	NA	NA	NA
Ocrl	104.917634184856	-0.138972634650949	0.195798803677154	-0.70977264437272	0.477845135459786	0.99948711220668
Calm1	901.650551189193	-0.0904703363047513	0.109627390586861	-0.825253030473882	0.409227951911752	0.99948711220668
Agpat3	274.85495447619	0.270844793551362	0.136204198323456	1.9885201549233	0.0467541921945478	0.765368303428742
Slc26a3	0.932543138629322	0.0778919647508379	2.18266920662957	0.0356865641913357	0.971532283951012	NA
Sema6b	4.67387961699222	-0.25776224006999	0.711026368114987	-0.362521351709287	0.716962470744387	NA
Uhrf1	0.671865635512643	-1.15557433303534	2.04035373453442	-0.566359800007435	0.571149216489261	NA
Dpp9	81.5946780779222	0.0758450238936655	0.182250225872898	0.416158737419398	0.677293851292991	0.99948711220668
Ramp2	22.2087957256529	0.0615629868210948	0.398658913120997	0.154425211113767	0.87727447648699	0.99948711220668
Lsr	0.902891817493654	-1.55527644675551	1.65383892902147	-0.940403820144516	0.347010463441123	NA
Gramd1a	41.2554016803267	0.167416216675546	0.251739163395734	0.665038424761776	0.506025916703886	0.99948711220668
Hpn	3.94461852341106	-0.793985045654389	0.788144821560896	-1.00741009004148	0.313737744504955	NA
Gabrg1	0.488957452059106	-1.41802181296586	2.46311136326539	-0.575703491979332	0.564815614647437	NA
Ckb	1.87274060174219	-1.15461614395579	1.49258577131938	-0.773567701194924	0.439186478489007	NA
Sp1	124.833054402379	-0.318544628326723	0.193418132467107	-1.64692226247658	0.0995740253271544	0.95759526281689
Itgb7	0.668026697403894	-0.913740392148886	2.09253839676615	-0.436666009838099	0.662353583114691	NA
Myg1	15.472585383276	0.278583815151437	0.449787580193447	0.619367513508536	0.535674277383271	0.99948711220668
Rarg	17.729192027786	-0.149978059088421	0.379076360235914	-0.395640759542704	0.692370063706137	0.99948711220668
Pfdn5	233.042642295977	0.229544006670442	0.259402503595413	0.884895108909434	0.376213206245225	0.99948711220668
Efnb2	12.6687159440167	-0.17448631879719	0.475361067497874	-0.367060600304569	0.713573815479434	NA
Rrp15	37.154456632742	-0.0316093749304994	0.252222258193021	-0.125323495067233	0.900267452443873	0.99948711220668
Rnd2	3.94785123475631	-0.90267394802284	0.773279906394286	-1.16733144176978	0.243076545894113	NA
Srr	37.9487085929277	-0.485125113290594	0.317367000839538	-1.52859343286253	0.126365265056934	0.976862725568739
Sync	68.453006303076	0.325131011071661	0.210261217554167	1.54631945374283	0.122027435979599	0.976288942194243
Fndc5	103.901409362771	-0.234737481805206	0.251897571703076	-0.931876715675139	0.351400242174703	0.99948711220668
Acp5	4.38193485114416	0.924596846862824	1.41980960131243	0.65121185686317	0.514909737486494	NA
Cnn1	0.440965141583385	-2.41205926022921	2.88633776360635	-0.835681565284115	0.403334068781901	NA
Fbxo9	106.89781624161	0.0244324450771989	0.158212599096302	0.154427935681198	0.877272328363773	0.99948711220668
Vps50	61.6584291779734	0.0720595108055287	0.211492764263681	0.340718563381619	0.733315462438849	0.99948711220668
Hars	50.7633703215164	0.190360045867409	0.249635166017698	0.762553004466981	0.445730020879534	0.99948711220668
Zmat2	120.265774278187	0.124667672377038	0.158862600223481	0.784751553868948	0.432599249653363	0.99948711220668
Ube2c	12.988434790425	0.0403186394750548	0.468707031753782	0.0860209827110823	0.931449737257878	NA
Smg5	131.717714979769	0.15123804818875	0.155371851219172	0.973394131575412	0.330357454424719	0.99948711220668
Cct3	144.365105898877	0.407292102940414	0.185874760359546	2.1912179047471	0.0284360275273136	0.655945071479794
Glmp	24.0349013771908	0.00784552148837056	0.311388639296686	0.0251952720757275	0.979899208097642	0.99948711220668
Mef2d	749.882114734434	-0.0565658647831676	0.120254821356133	-0.470383342183416	0.638081163170559	0.99948711220668
Tmem79	2.06065425668657	-1.0952616350731	1.20662799266799	-0.907704480360472	0.364034376185657	NA
Snd1	65.8369424069032	0.548463612018869	0.240060169943064	2.28469225923213	0.0223308788400469	0.633059237301861
Col18a1	6.3122848681546	-0.365675523956842	0.614427591295423	-0.595148279695373	0.551744358803184	NA
Slc19a1	5.14403694114029	-0.027579306237393	0.673562563357427	-0.0409454262124096	0.967339402911708	NA
Kpnb1	257.35441885438	-0.0207994435195392	0.121127327430349	-0.171715532413603	0.863661174096787	0.99948711220668
Npepps	201.383512370632	0.0263904387507838	0.138608013733965	0.190396197448121	0.848998677171875	0.99948711220668
Tbx21	0.860363625370614	0.132160997702227	1.93641183970977	0.0682504594281117	0.945586259766142	NA
Mrpl10	47.0955645061258	0.563011826024889	0.245728154962864	2.29119787315367	0.0219519719260391	0.633059237301861
Cyp51	9.89495586665615	-0.264454818036141	0.501437422681259	-0.527393461425481	0.597920383188718	NA
Tcf25	392.131583169972	0.105132699089274	0.117061552259682	0.898097599594903	0.369133518648068	0.99948711220668
Tubb6	47.1689753122029	0.481805529040898	0.332660433000197	1.44834035324127	0.147521887303244	0.99948711220668
Def8	32.4819940395936	-0.180151391190078	0.284699289493616	-0.632777803943617	0.526878753350718	0.99948711220668
Meox1	2.72763933480624	-1.00211556750984	1.02001961048222	-0.982447354160267	0.325879506944988	NA
Sost	0	NA	NA	NA	NA	NA
Nkx2-1	0	NA	NA	NA	NA	NA
Pax9	0.229595424717393	-0.199275634042077	3.5338115409304	-0.0563911322757213	0.955030221134623	NA
Irx2	0	NA	NA	NA	NA	NA
Col1a1	40.2654318076311	-1.68109617331781	0.350522181859567	-4.79597657528938	1.61884198648956e-06	0.00122855390029226
Itga3	6.30822022939238	-0.00151439380189649	0.607313644765557	-0.00249359423248442	0.998010401722885	NA
Sgca	317.641534903871	0.203644803095443	0.147710384055305	1.37867628195453	0.16799458544689	0.99948711220668
Dlx3	0.117506584077707	0.522062878200904	3.5338115409304	0.147733650239722	0.882552973964035	NA
Foxm1	0.717744889437742	-3.10330726969203	2.11511948994316	-1.46720186942036	0.142321148551615	NA
Itfg2	24.3554414612615	-0.0674304482051522	0.316918548245633	-0.212769017712681	0.831507130685836	0.99948711220668
Nrip2	4.28478230442734	-0.238409534268977	0.738884338524275	-0.322661507138095	0.746951606958778	NA
Tulp3	24.2367190115403	0.0437605322476855	0.340003333341922	0.128706185958706	0.897590140439079	0.99948711220668
Gtf2h4	12.4382979311827	0.0400216869171396	0.441165506758861	0.0907180781452509	0.927716605580259	NA
Tubb5	64.0068405025793	0.32106174198355	0.244181804977766	1.31484711570866	0.188561289106916	0.99948711220668
Ell2	143.557764923807	0.316870716892636	0.181319606151118	1.74758110068111	0.0805365902888514	0.921694548230721
Jup	144.216939777185	0.140502079800499	0.164662801846647	0.853271523530558	0.393508747898157	0.99948711220668
Fkbp10	3.34120485317042	-1.12405070441359	0.887483496661698	-1.26655955704162	0.205312821179304	NA
Klhl10	0.138389873927178	-0.920609642198369	3.5338115409304	-0.260514640222151	0.794466823822214	NA
Mnx1	0	NA	NA	NA	NA	NA
Nom1	74.2431090258906	-0.0897206784279324	0.202740301648631	-0.442539927672729	0.658098544031638	0.99948711220668
Ergic1	39.4066068040924	0.30605402410671	0.253347759732397	1.2080391965178	0.227032185791995	0.99948711220668
Tnk1	0.128115787687317	0.522062878200904	3.5338115409304	0.147733650239722	0.882552973964035	NA
Acap1	0.531532019096806	-1.58911941255378	2.43006456483226	-0.653941230842757	0.513149669093862	NA
Tcea3	549.752941228079	-0.0765213170225228	0.113394097185563	-0.674826282159115	0.499786140329053	0.99948711220668
