id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	28.5303376455746	0.0303619042478128	0.311657461618963	0.0974207519052878	0.922392265474888	0.99948711220668
Pbsn	0	NA	NA	NA	NA	NA
Cdc45	5.70545776180981	0.452286907730838	0.673627901230831	0.67141949866452	0.501953326779158	NA
H19	893.239385365897	-0.414749447996583	0.241916269850258	-1.71443387521354	0.0864490715869762	0.934814572031188
Scml2	0	NA	NA	NA	NA	NA
Apoh	0.619189045201495	0.513204325462756	2.12031629913619	0.242041399989159	0.80874808420887	NA
Narf	196.287186100585	-0.245439098510606	0.129347494285815	-1.89751722571654	0.0577597075080585	0.82904193070699
Cav2	21.8428680454019	0.145217564958123	0.336386478163651	0.431698580010921	0.66596049960444	0.99948711220668
Klf6	188.762777274085	0.263751565291608	0.20695887431538	1.27441534538733	0.202516256751782	0.99948711220668
Scmh1	73.6792595654206	0.0783270356969745	0.214150054267516	0.365757720514646	0.714545871139423	0.99948711220668
Cox5a	180.797867771616	-0.0806091078888564	0.188471093522589	-0.42770011242703	0.668869468025396	0.99948711220668
Tbx2	4.53237076261365	-0.485425749645083	0.762642123003734	-0.636505295213947	0.524447130731442	NA
Tbx4	3.99420983098315	0.0634346644991003	0.940753279394581	0.0674296501415584	0.946239665497863	NA
Zfy2	0	NA	NA	NA	NA	NA
Ngfr	1.5992898757397	0.0482358407854371	1.26206453310657	0.0382197894957913	0.969512442686434	NA
Wnt3	0.097780315374446	0.522062878200904	3.5338115409304	0.147733650239722	0.882552973964035	NA
Wnt9a	14.1492541035511	-0.0739287091910007	0.464386285955122	-0.159196581438551	0.87351399713324	0.99948711220668
Fer	24.1938344132661	-0.377713471106927	0.317495703953173	-1.18966482507944	0.234178155804716	0.99948711220668
Xpo6	101.05194818562	0.0930979503459905	0.204005981659974	0.45634912068981	0.648138946645709	0.99948711220668
Tfe3	32.4304912244666	-0.14255246604119	0.296336403797083	-0.481049456680333	0.630481349116734	0.99948711220668
Axin2	18.6370119999639	-0.545475693918749	0.449711414779018	-1.2129460716197	0.225150439528422	0.99948711220668
Brat1	14.8195880286552	0.113204779018442	0.408595718419842	0.277058162665623	0.781735446077864	0.99948711220668
Gna12	19.5890278742454	0.151481079704306	0.359858246647077	0.420946528572591	0.673794128112045	0.99948711220668
Slc22a18	0.117506584077707	0.522062878200904	3.5338115409304	0.147733650239722	0.882552973964035	NA
Itgb2l	0	NA	NA	NA	NA	NA
Igsf5	0	NA	NA	NA	NA	NA
Pih1d2	1.23969630209868	-0.229179965570231	1.28603221633988	-0.178207017412434	0.858560398839764	NA
Dlat	202.986137679068	0.109658958337512	0.198017463858267	0.553784278421025	0.579726488998505	0.99948711220668
Sdhd	180.833193514494	-0.176339419899156	0.15458284285668	-1.14074380209612	0.253976552954037	0.99948711220668
Fgf23	0	NA	NA	NA	NA	NA
Fgf6	4.98269868804401	-0.173572715017922	0.697924256046051	-0.248698499177065	0.803594009856841	NA
Ccnd2	10.2184308589135	-0.313413939843666	0.546281834146761	-0.57372206112837	0.566155897111404	NA
Gpr107	59.9521390074689	-0.0286480787525238	0.212434371431629	-0.134856137259992	0.892725620059713	0.99948711220668
Nalcn	0.570246382029448	-1.61869271083085	2.38819271136604	-0.677789821201222	0.497904965793174	NA
